"CASRN"	"Chemical"	"Tc"	"Pc"	"Vc"	"omega"
"565-60-6"	"3-methyl-2-pentanol"	578	34.7	373	0.576
"565-61-7"	"3-methyl-2-pentanone"	573	33.2	369	0.389
"565-62-8"	"3-methyl-3-penteN-2-one"	595	39.6	342.8	
"565-63-9"	"cis-2-methyl-2-butenoic acid"	676	40.83	322.5	0.389
"565-67-3"	"2-methyl-3-pentanol"	564.4	32.8	378	0.576
"565-69-5"	"ethyl isopropyl ketone"	567	33.2	369	0.389
"565-75-3"	"2,3,4-trimethylpentane"	566.4	27.3	460	0.315
"565-76-4"	"2,3,4-trimethyl-1-pentene"	557.76	25.95	483.5	0.308
"565-77-5"	"2,3,4-trimethyl-2-pentene"	574.12	27.24	459.5	0.297
"565-78-6"	"3,4-dimethyl-2-pentanone"	586.69	30.49	421.5	0.42
"565-80-0"	"2,4-dimethyl-3-pentanone"	576	30.2	416	0.405
"5650-75-9"	"2-methylenepentanoic acid"	696	33	389.4	
"56523-26-3"	"3,7-dimethyl-2,4-octadiene"	646	30	457.7	
"56535-63-8"	"4-bromo-cis2-pentene"	592.38	40.62	351.5	0.326
"56539-66-3"	"3-methoxy-3-methylbutanol"	600	32.4	407.3	0.817
"56578-18-8"	"trans-5-deceN-1-ol"	643	23	527.6	
"5665-74-7"	"DL-2-amino-1-hexanol"	681	34.4	436	0.97
"5668-93-9"	"3-ethylbiphenyl"	801	31.3	593	0.482
"56688-75-6"	"3-methylcyclohexene, (±)"	583.04	36.78	346.5	0.241
"5675-22-9"	"1,4-heptadiene"	556	34.5	347.8	
"5675-51-4"	"1,12-dodecanediol"	745.3	20.93	745.5	1.336
"56800-09-0"	"1,1-dichloro-2-butene"	640	37.98	332	0.302
"5683-44-3"	"3-methyl-2,4-pentanediol"	685.78	39.76	391.5	1.143
"569-41-5"	"1,8-dimethylnaphthalene"	792	31	517	0.395
"56961-86-5"	"1,2,5-trichloro-3-methylbenzene"	737	33.4	447	0.26
"57-10-3"	"hexadecanoic acid"	785	15.1	917	0.983
"57-11-4"	"octadecanoic acid"	804	13.6	1020	1.036
"57-13-6"	"urea"	705	90.5	218	0.62
"57-50-1"	"sucrose"	1086	26.9	761	0.365
"57-55-6"	"1,2-propanediol (propylene glycol)"	626	61	239	1.107
"57-57-8"	"βpropiolactone"	686	69.1	206	0.358
"57-88-5"	"cholesterol"	959	12.5	1350	0.948
"57018-52-7"	"1-tert-butoxy-2-propanol"	567	29.9	433	0.774
"5707-44-8"	"4-ethylbiphenyl"	806	31.3	593	0.427
"57074-37-0"	"cis-4-deceN-1-ol"	643	23	527.6	
"57093-84-2"	"3-ethyl-2-thiapentane"	598.38	31.96	419.5	0.351
"57094-91-4"	"1-iodohentriacontane"	993.86	6.04	1790.5	
"571-58-4"	"1,4-dimethylnaphthalene"	776.78	30.06	521.5	0.443
"571-61-9"	"1,5-dimethylnaphthalene"	773.47	30.06	521.5	0.443
"5715-23-1"	"3,4-dimethylcyclohexanol"	645	35.9	448.2	
"57223-18-4"	"1-noneN-3-yne"	595	30	426.4	
"57233-31-5"	"2,2,4-trimethyl-4-heptanol"	609.52	23.84	592.5	0.724
"57246-89-6"	"rhenium (VII) dioxytrifluoride"	690.26	0	0	
"57253-29-9"	"1-bromo-2-methyl-cis2-butene"	602.84	40.47	358.5	0.331
"57253-30-2"	"1-bromo-2-methyl-trans-2-butene"	602.84	40.47	358.5	0.331
"573-98-8"	"1,2-dimethylnaphthalene"	775.34	30.06	521.5	0.443
"57303-85-2"	"dimethyl-2-pentylamine"	553.21	29.41	459.5	0.406
"57386-83-1"	"2,4-dichloro-1,3,5-trimethylbenzene"	760	30	505.2	
"57409-53-7"	"2,3,3-trimethyl-1-pentanol"	613.33	28.69	485.5	0.706
"57456-98-1"	"2-methylbutanal, (±)"	542.02	37.6	322.6	0.373
"575-37-1"	"1,7-dimethylnaphthalene"	770.6	30.06	521.5	0.443
"575-41-7"	"1,3-dimethylnaphthalene"	773.76	30.06	521.5	0.443
"575-43-9"	"1,6-dimethylnaphthalene"	770.6	30.06	521.5	0.443
"5750-00-5"	"2-chloro-3,3-dimethylbutane"	579.63	30.73	403.5	0.254
"5756-43-4"	"1-ethoxy-hexane"	583	24.6	487	0.494
"576-26-1"	"2,6-xylenol"	701.25	43	390	0.455
"577-55-9"	"1,2-diisopropylbenzene"	697.15	23.61	602	0.437
"57706-88-4"	"3,7-dimethyl-3-octanol, (±)"	629	23.55	598	0.793
"57716-79-7"	"2-ethyl-1,4-butanediol"	630.46	39.36	397.5	1.179
"57757-60-5"	"dimethyl-1,1-dimethylpropylamine"	574.99	29.76	454.5	0.344
"578-54-1"	"o-ethylaniline"	704	37.4	426	0.462
"5780-13-2"	"meso-2,3-dibromobutane"	651.35	47.69	371.5	0.403
"57859-47-9"	"3-hexenyl isobutyrate"	650	23.5	540.2	
"5787-28-0"	"(S)-(1-methylpropyl)benzene"	664.65	28.97	487.2	0.378
"5787-31-5"	"2-bromobutane, (±)"	561.05	44.58	316.3	0.289
"579-66-8"	"2,6-diethylaniline"	678	31.2	533	0.912
"5794-03-6"	"(+)-camphene"	638	27.5	499	0.296
"5794-04-7"	"(-)-camphene"	638	27.5	499	0.296
"58-08-2"	"caffeine"		0	510	
"58-72-0"	"triphenylethylene"	908	21	860	0.6
"5802-82-4"	"methyl hexacosanoate"	860	8.7	1525	
"58046-40-5"	"2,3,6-trimethyl-3-heptanol"	618.25	23.77	591.5	0.757
"58049-91-5"	"3,3-dimethylcyclopentene"	559.35	37.68	352.5	0.232
"5809-59-6"	"2-hydroxy-3-butenenitrile"	639	45.1	278	0.844
"581-40-8"	"2,3-dimethylnaphthalene"	777.78	30.06	521.5	0.443
"581-42-0"	"2,6-dimethylnaphthalene"	777	31.7	520	0.418
"5813-64-9"	"2,2-dimethylpropylamine"	517.1	34.6	346	0.384
"58133-26-9"	"1,1-dibromohexane"	684.21	36.82	489.5	0.526
"5814-85-7"	"1,2-diphenylpropane"	781.16	25.3	653.5	0.492
"58175-57-8"	"2-propyl-1-pentanol"	607.5	28.11	496.5	0.806
"582-16-1"	"2,7-dimethylnaphthalene"	778	31.7	520	0.42
"58210-03-0"	"2,3,6-trimethylcyclohexanol"	655	33.9	478.8	
"583-48-2"	"3,4-dimethylhexane"	568.8	26.9	466	0.338
"583-53-9"	"o-dibromobenzene"	761	46.6	372	0.293
"583-57-3"	"1,2-dimethylcyclohexane"	597.51	29.51	455	0.236
"583-58-4"	"3,4-dimethylpyridine"	683.8	40.9	367	0.35
"583-59-5"	"2-methylcyclohexanol"	635	37.9	414	0.685
"583-60-8"	"2-methylcyclohexanone"	650	35.5	377.6	
"583-61-9"	"2,3-dimethylpyridine"	655.4	40.9	367	0.358
"58368-66-4"	"1-methylbutyl formate"	574	31.3	387	0.401
"58368-67-5"	"1-ethylpropyl formate"	579	32.3	383	0.375
"5837-78-5"	"ethyl trans-2-methyl-2-butenoate"	592.33	28.3	428	0.432
"584-02-1"	"3-pentanol"	559.6	38.8	325	0.538
"584-03-2"	"1,2-butanediol"	680	52.1	303	0.631
"584-84-9"	"toluene diisocyanate"	725	30.4	525	0.658
"584-94-1"	"2,3-dimethylhexane"	563.5	26.3	468	0.346
"58430-94-7"	"3,5,5-trimethylhexyl acetate"	678.7	18.2	693	0.622
"5846-40-2"	"N-pentapentacontane"	1096.75	3.31	3297.5	
"5846-43-5"	"trans-2-propylcyclohexanol"	655	33.9	478.8	
"58474-80-9"	"3-decenal"	670	22	582.3	
"585-07-9"	"tert-butyl methacrylate"	616	26	470.5	
"585-34-2"	"3-tert-butylphenol"	748.61	35.14	410.5	0.444
"5856-62-2"	"(S)-(+)-2-amino-1-butanol"	571.82	41.4	300	0.711
"5856-63-3"	"(R)-(-)-2-amino-1-butanol"	571.82	41.4	300	0.711
"5856-66-6"	"N-tetrapentacontane"	1092.55	3.35	3237.8	
"5856-67-7"	"N-heptapentacontane"	1105.14	3.23	3416.9	
"5857-36-3"	"2,2,4-trimethyl-3-pentanone"	624	26.4	469	0.528
"5857-69-2"	"2,2,3,4,4-pentamethyl-3-pentanol"	637.91	24.29	581.5	0.629
"5857-86-3"	"cis-2-propylcyclohexanol"	655	33.9	478.8	
"586-62-9"	"terpinolene"	667	28.2	493	0.376
"58654-67-4"	"5-methyl-2-octanone"	629.65	24.67	533.8	0.541
"5867-91-4"	"methyl propyl sulfate"	792	68.9	398	0.162
"58670-89-6"	"2-decyl-1-tetradecanol"	831.6	9.9	1360.8	
"587-02-0"	"m-ethylaniline"	695.58	36.84	432	0.433
"587-03-1"	"3-methylbenzenemethanol"	681	39.1	387	0.751
"5870-93-9"	"heptyl butanoate"	675.5	17.5	693	0.496
"5876-87-9"	"1,11-dodecadiene"	696	26	560.2	
"58766-17-9"	"2-chloro-5-methylhexane"	621.08	26.93	476.5	0.418
"5877-76-9"	"ethylhexadecylamine"	754.8	11.9	1060	0.907
"58795-24-7"	"5,6-dimethyl-2-heptanol"	623.04	25.87	540.5	0.782
"588-47-6"	"N-isobutylaniline"	690	29.85	525.5	0.69
"588-59-0"	"stilbene"	788.5	27.4	581	0.481
"5881-17-4"	"3-ethyloctane"	613.6	21.89	561	0.446
"589-16-2"	"p-ethylaniline"	695.58	36.84	432	0.433
"589-18-4"	"4-methylbenzenemethanol"	681	39.2	387	0.748
"589-33-3"	"1-butyl-1H-pyrrole"	670	37.5	390	
"589-34-4"	"3-methylhexane"	535.2	28.1	404	0.32
"589-35-5"	"3-methyl-1-pentanol"	588	34	380	0.723
"589-37-7"	"1,3-diaminopentane"	637.67	42.1	358	0.591
"589-38-8"	"3-hexanone"	582.82	33.2	378	0.38
"589-40-2"	"sec-butyl formate"	546	35.8	336	0.349
"589-43-5"	"2,4-dimethylhexane"	553.5	25.6	472	0.344
"589-53-7"	"4-methylheptane"	561.74	25.42	476	0.371
"589-55-9"	"4-heptanol"	583.1	31.21	440.5	0.764
"589-59-3"	"2-methylpropyl isopentanoate"	614.21	23.08	509.6	0.771
"589-62-8"	"4-octanol"	604.27	28.11	496.5	0.806
"589-63-9"	"4-octanone"	624	26.4	469	0.528
"589-75-3"	"butyl octanoate"	667	18.93	717.3	0.699
"589-81-1"	"3-methylheptane"	563.67	25.46	464	0.372
"589-82-2"	"3-heptanol"	585.83	31.21	440.5	0.764
"589-90-2"	"1,4-dimethylcyclohexane"	597.51	29.51	455	0.236
"589-91-3"	"4-methylcyclohexanol"	635	37.9	414	0.685
"589-92-4"	"4-methylcyclohexanone"	650	35.5	377.6	
"589-93-5"	"2,5-dimethylpyridine"	644.2	39.8	367	0.379
"589-98-0"	"3-octanol"	601.72	28.11	496.5	0.806
"58958-60-4"	"isostearyl neopentanoate"	798	10.6	1204.7	
"59-67-6"	"3-pyridinecarboxylic acid"	760	46.4	349	0.596
"590-01-2"	"butyl propanoate"	594.6	28	442	0.464
"590-13-6"	"cis-1-bromo-1-propene"	523.23	52.13	245.5	0.268
"590-14-7"	"1-bromo-1-propene"	526.38	51.85	246.3	0.265
"590-15-8"	"trans-1-bromo-1-propene"	531.77	52.13	245.5	0.268
"590-18-1"	"cis-2-butene"	435.58	42.06	234	0.203
"590-19-2"	"1,2-butadiene"	452	43.6	220	0.166
"590-21-6"	"1-chloro-1-propene"	492.64	46.04	233.3	0.181
"590-35-2"	"2,2-dimethylpentane"	520.5	27.7	416	0.287
"590-36-3"	"2-methyl-2-pentanol"	559.5	34.7	380	0.579
"590-50-1"	"4,4-dimethyl-2-pentanone"	580.9	30.59	422.5	0.387
"590-66-9"	"1,1-dimethylcyclohexane"	591.15	29.38	450	0.233
"590-67-0"	"1-methylcyclohexanol"	686	40	374	0.221
"590-73-8"	"2,2-dimethylhexane"	549.8	25.3	478	0.338
"590-86-3"	"3-methylbutanal"	544.62	38.29	326.5	0.388
"590-87-4"	"2-fluoropentane"	493.55	33.22	327.5	0.298
"590-88-5"	"1,3-butanediamine"	612.33	46.1	316.1	0.533
"590-94-3"	"isobutyl isocyanide"	563.17	34	335.5	0.397
"59006-05-2"	"1-fluoro-2,2-dimethylpropane"	478.83	33.65	322.5	0.238
"5908-87-2"	"ethyl docosanoate"	815	10.1	1284.6	
"591-17-3"	"m-bromotoluene"	699	43.7	379	0.318
"591-21-9"	"1,3-dimethylcyclohexane"	597.51	29.51	455	0.236
"591-22-0"	"3,5-dimethylpyridine"	667.2	38.7	367	0.364
"591-23-1"	"3-methylcyclohexanol"	635	37.9	414	0.685
"591-24-2"	"3-methylcyclohexanone"	650	35.5	377.6	
"591-34-4"	"1-methylpropyl propanoate"	579	28.1	442	0.602
"591-47-9"	"4-methylcyclohexene"	579.3	36.78	346.5	0.241
"591-48-0"	"3-methylcyclohexene"	578.88	36.78	346.5	0.241
"591-49-1"	"1-methylcyclohexene"	590.94	36.78	346.5	0.241
"591-50-4"	"iodobenzene"	721.15	45.19	351	0.247
"591-68-4"	"butyl pentanoate"	629	23.3	547	0.596
"591-76-4"	"2-methylhexane"	530.4	27.4	421	0.328
"591-78-6"	"2-hexanone"	587.61	32.87	378	0.385
"591-80-0"	"4-pentenoic acid"	676	40.06	322.5	0.426
"591-87-7"	"allyl acetate"	559	36.8	323	0.388
"591-93-5"	"1,4-pentadiene"	479	37.4	303	0.084
"591-95-7"	"1,2-pentadiene"	500	38	276	0.154
"591-96-8"	"2,3-pentadiene"	497	38	295	0.218
"591-97-9"	"1-chloro-2-butene"	532.24	39.67	288.8	0.242
"5910-75-8"	"ditridecylamine"	851.92	7.3	1526.5	
"5910-77-0"	"tritridecylamine"	985.94	4.12	2257.5	
"59104-79-9"	"1,1-dibromoheptane"	700.05	32.88	545.5	0.571
"59104-80-2"	"1,1-dibromodecane"	741.82	24.22	713.5	0.701
"5911-04-6"	"3-methylnonane"	613	21.6	583	0.465
"5911-05-7"	"4-ethylnonane"	624.66	19.48	645.5	0.507
"59128-91-5"	"3-iodo-3-methyl-1-butene"	622.45	36.33	373.5	0.207
"59129-74-7"	"4,5-dimethylquinoline"	773.01	33.53	514.5	0.497
"5913-13-3"	"R-(-)-cyclohexylethylamine"	642	31	448.7	
"59130-69-7"	"hexadecyl 2-ethylhexanoate"	815	10.1	1278	
"592-13-2"	"2,5-dimethylhexane"	550	24.9	482	0.358
"592-27-8"	"2-methylheptane"	559.64	24.84	488	0.377
"592-41-6"	"1-hexene"	504	32.1	355	0.286
"592-42-7"	"1,5-hexadiene"	507	33.5	339	0.232
"592-43-8"	"2-hexene"	506.59	32.05	352.3	0.25
"592-44-9"	"1,2-hexadiene"	526	33.5	331	0.276
"592-45-0"	"1,4-hexadiene"	510	33.5	331	0.28
"592-46-1"	"2,4-hexadiene"	526.51	34.94	332.4	0.25
"592-47-2"	"hex-3-ene"	506.59	32.05	352.3	0.25
"592-48-3"	"1,3-hexadiene, cis and trans"	526.51	34.94	332.4	0.25
"592-49-4"	"2,3-hexadiene"	523.91	36.73	331.5	0.253
"592-50-7"	"1-fluoropentane"	496.7	31.6	333	0.344
"592-57-4"	"1,3-cyclohexadiene"	558	47.3	277	0.231
"592-65-4"	"diisobutyl sulfide"	658.04	25.59	537.5	0.447
"592-76-7"	"1-heptene"	537.3	29.2	409	0.344
"592-77-8"	"2-heptene"	537.61	29.69	403	0.294
"592-78-9"	"3-heptene"	537.61	29.69	403	0.294
"592-84-7"	"butyl formate"	559	35.1	336	0.388
"592-99-4"	"oct-4-ene"	564.74	26.94	458.8	0.328
"59204-02-3"	"3,7-dimethyl-1-octanol, (±)"	629	23.55	598	0.793
"5921-84-6"	"1-propylbutyl acetate"	643.9	21.9	577	0.499
"59222-86-5"	"2,2-dimethyltetradecane"	708.68	13.37	969.2	0.632
"593-03-3"	"3-hexadecanol"	757.6	15	920	0.756
"593-08-8"	"2-tridecanone"	707.26	17.32	769.5	0.727
"593-32-8"	"2-octadecanol"	773.9	13	1043	0.832
"593-39-5"	"trans-6-octadecenoic acid"	966	15	1120.3	
"593-45-3"	"octadecane"	747	12.7	1088.6	0.811
"593-49-7"	"heptacosane"	826	8.83	1625.9	1.214
"593-50-0"	"1-triacontanol"	881.6	7.4	1832.2	
"593-53-3"	"methyl fluoride"	317.42	58.75	113	0.198
"593-60-2"	"vinyl bromide"	473	71.8	200	0.277
"593-66-8"	"vinyl iodide"	536.99	51.76	216.5	0.165
"593-70-4"	"chlorofluoromethane"	427	56.2	154	0.211
"593-75-9"	"methyl isocyanide"	517.86	48.56	173.5	0.294
"593-95-3"	"carbonyl bromide"	532.92	62.27	186.43	
"5932-79-6"	"4-nonanol"	618.15	25.46	552.5	0.846
"594-02-5"	"1,1-diiodoethane"	723.89	47.83	317.5	0.199
"594-11-6"	"methylcyclopropane"	437.13	46.15	216.5	0.198
"594-16-1"	"2,2-dibromopropane"	607.05	54.95	316.5	0.325
"594-20-7"	"2,2-dichloropropane"	539.46	41.04	290.5	0.198
"594-21-8"	"1,1,1-triiodoethane"	838.1	47.11	400.5	0.182
"594-34-3"	"1,2-dibromo-2-methylpropane"	644.38	47.89	372.5	0.369
"594-36-5"	"2-chloro-2-methylbutane"	548.97	33.96	353.5	0.233
"594-37-6"	"1,2-dichloro-2-methylpropane"	584.32	36.42	346.5	0.247
"594-38-7"	"2-iodo-2-methylbutane"	573.79	41.36	323.5	0.623
"594-39-8"	"1,1-dimethylpropylamine"	526	36.6	367	0.32
"594-44-5"	"ethanesulfonyl chloride"	682	47.4	204	0.369
"594-51-4"	"2,3-dibromo-2-methylbutane"	668.37	42.55	422.5	0.377
"594-52-5"	"2-bromo-2,3-dimethylbutane"	595.92	34.36	422.5	0.341
"594-56-9"	"2,3,3-trimethyl-1-butene"	531	31.4	381	0.239
"594-57-0"	"2-chloro-2,3-dimethylbutane"	581.14	30.73	403.5	0.254
"594-59-2"	"2-iodo-2,3-dimethylbutane"	597.98	36.69	379.5	0.668
"594-60-5"	"2,3-dimethyl-2-butanol"	564.4	34.5	374	0.496
"594-61-6"	"2-hydroxy-2-methylpropanoic acid"	664	49.2	301	0.983
"594-70-7"	"2-nitro-2-methylpropane"	592	35	337	0.383
"594-81-0"	"2,3-dibromo-2,3-dimethylbutane"	684.21	36.82	489.5	0.526
"594-82-1"	"2,2,3,3-tetramethylbutane"	568	28.7	461	0.245
"594-83-2"	"2,3,3-trimethyl-2-butanol"	568.02	32.28	424.5	0.595
"594-84-3"	"2,2-dichloro-3,3-dimethylbutane"	633.09	28.91	463.5	0.397
"5943-30-6"	"di-sec-butyl disulfide"	704.16	26.24	591.5	0.529
"5944-41-2"	"2-tert-butylpyridine"	673	30	469.4	
"595-37-9"	"2,2-dimethylbutanoic acid"	653	34.1	389	0.567
"595-38-0"	"3-chloro-2,3-dimethylpentane"	621.08	26.93	476.5	0.418
"595-41-5"	"2,3-dimethyl-3-pentanol"	573.26	31.88	429.5	0.662
"595-42-6"	"2-nitro-2-methylbutane"	615	32	388	0.421
"5951-19-9"	"selenosulfide, carbon"	576.53	74.12	177.18	0.316
"5954-71-2"	"2,cis-3-dimethylthiacyclopropane"	537.89	43.8	261.5	0.218
"5955-98-6"	"2,trans-3-dimethylthiacyclopropane"	537.89	43.8	261.5	0.218
"59562-82-2"	"3,3-dimethyl-1,2-butanediol"	634.56	39.91	392.5	1.105
"59570-04-6"	"ethylundecylamine"	693.1	16.9	785	0.738
"59570-06-8"	"ethyltridecylamine"	720.6	14.6	895	0.811
"5963-14-4"	"8-methylnonanoic acid"	713	22.5	600	0.877
"59643-75-3"	"2,3-dimethyl-cis3-hexene"	567.08	27.1	458.5	0.322
"59654-13-6"	"2-iodohexane"	611.98	36.2	384.5	0.739
"5969-12-0"	"2,6-heptanediol"	660.11	35.01	453.5	1.212
"59697-51-7"	"trans-1,2-dichloro-1-hexene"	660	32	409.6	
"59697-55-1"	"cis-1,2-dichloro-1-hexene"	660	32	409.6	
"597-05-7"	"2-methyl-3-ethyl-3-pentanol"	591.68	28.69	485.5	0.706
"597-49-9"	"3-ethyl-3-pentanol"	573.17	31.6	435.5	0.695
"597-76-2"	"3-ethyl-3-hexanol"	586.95	28.44	491.5	0.738
"597-77-3"	"5-methyl-3-ethyl-3-hexanol"	599.36	25.95	541.5	0.748
"597-90-0"	"4-ethyl-4-heptanol"	605.58	25.74	547.5	0.78
"597-93-3"	"5-butyl-5-nonanol"	724.8	18.35	758.5	0.642
"597-96-6"	"3-methyl-3-hexanol"	573.58	31.6	435.5	0.695
"5970-63-8"	"2-methyl-2-ethyl-1-pentanol"	611.53	28.44	491.5	0.738
"59734-23-5"	"5-methyl-4-octanol"	606.35	25.66	546.5	0.814
"59739-66-1"	"1-fluoro-2-methyl-1-propene"	475.39	39.56	258.5	0.227
"5978-70-1"	"(R)-(-)-2-octanol"	600.92	28.49	488	0.733
"598-01-6"	"4-methyl-4-heptanol"	589.8	28.44	491.5	0.738
"598-03-8"	"dipropyl sulfone"	763	31.1	463	0.582
"598-04-9"	"dibutyl sulfone"	767	25.4	569	0.688
"598-17-4"	"1,1-dibromopropane"	624.11	54.07	321.5	0.39
"598-23-2"	"3-methyl-1-butyne"	463.2	42	275	0.308
"598-25-4"	"3-methyl-1,2-butadiene"	490	38.3	291	0.187
"598-26-5"	"2-methyl-1-propeN-1-one"	555	47.6	269.8	
"598-29-8"	"1,2-diiodopropane"	780.49	42.06	373.5	0.237
"598-32-3"	"1-methyl-2-propeN-1-ol"	559	52.2	223.2	
"598-45-8"	"isopropyl isocyanide"	541.04	38.15	279.5	0.353
"598-53-8"	"methyl isopropyl ether"	464.48	37.62	276	0.266
"598-56-1"	"dimethylethylamine"	500	36.63	290	0.097
"598-61-8"	"methylcyclobutane"	477.75	42	264.5	0.213
"598-71-0"	"DL-2,3-dibromobutane"	656.19	47.69	371.5	0.403
"598-73-2"	"bromotrifluoroethylene"	432	44.8	239	0.175
"598-74-3"	"1,2-dimethylpropylamine"	527.4	35.4	339	0.393
"598-75-4"	"3-methyl-2-butanol"	556.1	38.7	327	0.512
"598-76-5"	"1,1-dichloro-2-methylpropane"	576.09	36.29	345.5	0.278
"598-77-6"	"1,1,2-trichloropropane"	619.96	39.01	338.5	0.287
"598-96-9"	"3,4,4-trimethyl-2-pentene"	564.74	26.94	458.8	0.328
"598-98-1"	"methyl tert-pentanoate"	565.5	30.7	390.5	0.404
"5984-58-7"	"6-methyl-2-heptanamine, (±)"	601.45	26.52	517.6	0.5
"59871-24-8"	"trans-1-chloro-1-octene"	640.48	25.74	512.5	0.43
"5988-91-0"	"tetrahydroneral"	656.59	22.36	601.5	0.612
"59889-45-1"	"2-chloro-2,3-dimethylpentane"	621.08	26.93	476.5	0.418
"5989-27-5"	"D-limonene"	660	27.5	524	0.312
"5989-54-8"	"L-limonene"	660	27.5	524	0.313
"599-02-0"	"2-nitro-3,3-dimethylbutane"	634.21	32.47	436.5	0.427
"599-64-4"	"p-cumylphenol"	834	28.6	703	0.689
"59967-14-5"	"4-iodo-1-pentene"	615.43	35.86	378.5	0.267
"59973-07-8"	"2-thiaundecane"	701.03	21.41	649.5	0.551
"59973-08-9"	"3-thiadodecane"	717.91	19.63	705.5	0.592
"60-00-4"	"ethylenediaminetetraacetic acid"	809	22.3	798	1.692
"60-09-3"	"p-aminoazobenzene"	877	29	642	0.635
"60-12-8"	"2-phenylethanol"	684	39.2	387	0.743
"60-24-2"	"2-mercaptoethanol"	629	62.7	219	0.672
"60-29-7"	"diethyl ether"	466.7	36.4	280	0.281
"60-33-3"	"linoleic acid"	775	14.1	990	1.18
"60-35-5"	"acetamide"	761	66	215	0.421
"600-06-6"	"1-chloro-2,3-dimethylbutane"	586.34	30.36	408.5	0.314
"600-07-7"	"2-methylbutanoic acid"	643	38.9	347	0.589
"600-10-2"	"1,2-dichloro-3-methylbutane"	620.02	32.43	401.5	0.323
"600-11-3"	"2,3-dichloropentane"	614.06	32.43	401.5	0.323
"600-24-8"	"2-nitrobutane"	615	36	335.5	0.357
"600-36-2"	"2,4-dimethyl-3-pentanol"	568.11	31.78	428.5	0.697
"6006-06-0"	"12-tridecenoic acid"	836	19	776.3	
"6006-15-1"	"diethylisopropylamine"	552.49	29.41	459.5	0.406
"6006-33-3"	"tridecylcyclohexane"	783.38	12.42	1032.5	0.7
"6006-34-4"	"tridecylcyclopentane"	766.47	13.07	984.5	0.697
"6006-90-2"	"13-phenylpentacosane"	901.84	6.7	1663.5	
"6006-95-7"	"pentadecylcyclohexane"	803.46	10.9	1144.5	0.733
"6007-54-1"	"thiacyclononane"	751.38	35.47	439.5	0.27
"60096-09-5"	"1,5-heptanediol"	660.61	35.17	452.5	1.181
"60111-14-0"	"3-methyl-4-hexeN-3-ol"	601	35	341	
"6012-97-1"	"tetrachlorothiophene"	753	36.7	428	0.361
"60186-78-9"	"3-tridecyne"	692.34	18.81	725.5	0.539
"60212-29-5"	"2-undecyne"	669.5	22.38	613.5	0.456
"60212-30-8"	"3-undecyne"	661.12	22.38	613.5	0.456
"60212-31-9"	"4-undecyne"	660.54	22.29	613.5	0.46
"60212-32-0"	"3-tetradecyne"	705.58	17.33	781.5	0.579
"60247-14-5"	"methylethylisobutylamine"	550.32	29.41	459.5	0.406
"60251-57-2"	"2-bromooctane, (±)-"	665.09	27.21	545.5	0.524
"603-35-0"	"triphenylphosphine"	1008	78.4	554	0.452
"60302-21-8"	"4-tert-butylheptane"	622.21	19.81	634.5	0.419
"60302-23-0"	"2,2,4,4,5-pentamethylhexane"	637.53	20.15	623.5	0.333
"60302-24-1"	"2,2,3,3,5,5-hexamethylhexane"	661.75	18.69	674.5	0.318
"60302-27-4"	"2,2,3,3,4,4-hexamethylpentane"	672.56	20.35	618.5	0.275
"60302-28-5"	"2,2-dimethyl-3,3-diethylpentane"	651.51	20	629.5	0.361
"6031-02-3"	"(1-methylpentyl)benzene"	697.15	23.61	602	0.437
"6032-29-7"	"2-pentanol"	560.3	36.75	329	0.559
"6033-23-4"	"(S)-(+)-2-heptanol"	587.2	31.51	434.1	0.709
"6033-24-5"	"(R)-(-)-2-heptanol"	587.2	31.51	434.1	0.709
"604-88-6"	"hexaethylbenzene"	746	17.3	923	0.753
"60415-61-4"	"1-methylbutyl butanoate"	610	23.3	500	0.845
"60435-70-3"	"2-methyl-1-heptanol"	602.93	28.11	496.5	0.806
"60468-23-7"	"1-bromo-1-pentene"	586.22	40.33	356.2	0.334
"6048-83-5"	"thiacyclodecane"	771.03	32.65	487.5	0.284
"605-01-6"	"pentaethylbenzene"	731	18.9	813	0.67
"605-02-7"	"1-phenylnaphthalene"	849	26.3	656	0.531
"605-39-0"	"2,2'-dimethylbiphenyl"	761.6	31.3	593	0.477
"60564-76-3"	"4,5-dimethyl-1-hexanol"	614.62	28.35	490.5	0.773
"60595-37-1"	"trans-1-iodo-1-heptene"	677.01	28.91	495.5	0.375
"606-20-2"	"2,6-dinitrotoluene"	770	34	455	0.714
"606-46-2"	"N,N-diethyl-2-methylaniline"	700	27.5	566.1	
"6061-10-5"	"3-methyloctanoic acid"	703	24.5	547	0.831
"6064-27-3"	"6-dodecanone"	687.46	18.79	713.5	0.691
"6064-63-7"	"DL-a-hydroxycaproic acid"	683	36.4	402	1.137
"6064-90-0"	"methyl heneicosanoate"	764	11.1	1124	
"6065-90-3"	"1,2-dichloro-4,4-dimethylpentane"	654.02	26.14	519.5	0.442
"6065-93-6"	"1,1-dichloro-2-methyl-1-propene"	640	37.98	332	0.302
"60669-40-1"	"3-undecene"	637.84	20.23	637.8	0.504
"60671-32-1"	"3-methyl-2-nonanol"	640.97	23.34	602.5	0.852
"60671-36-5"	"2-methyl-3-undecanol"	712.9	19.7	704.5	0.635
"60676-86-0"	"silicon dioxide (vitreous)"	5021.49	788.13	138.79	
"6068-69-5"	"N-sec-butylaniline"	690	29.85	525.5	0.69
