"CASRN"	"Chemical"	"Tc"	"Pc"	"Vc"	"omega"
"104-83-6"	"1-chloro-4-(chloromethyl)benzene"	710	36.2	404	0.343
"104-87-0"	"p-tolualdehyde"	698	36.7	416	0.442
"10403-60-8"	"2,3,3-trichlorobutane"	633.36	35.18	389.5	0.271
"104035-66-7"	"4-ethyl-6-methyl-5-hepteN-2-one"	675	25.6	584.2	
"10405-27-3"	"difluoramine"	403	99.51	89.06	
"104177-72-2"	"4-isopentylaniline"	700	27.5	566.1	
"10422-35-2"	"1-bromo-2-methylbutane"	590.01	38.06	371.5	0.359
"10424-38-1"	"1,2-propanediamine, (±)"	587	52.7	266.9	0.474
"10428-64-5"	"1,2-dibromo-2-methylbutane"	665.93	42.11	428.5	0.414
"10435-81-1"	"2-octanethiol, (±)"	648	25.37	524.7	0.401
"10436-75-6"	"4-methyl-N-isopropylaniline"	690	29.85	525.5	0.69
"10473-14-0"	"3-methyl-3-buteN-2-ol"	573	45.5	258.4	
"10478-12-3"	"methyl 2-methyl-2-pentenoate"	592.33	28.3	428	0.432
"10486-19-8"	"1-tridecanal"	724	23.5	738	0.716
"10488-25-2"	"cis-2-isopropylcyclohexanol"	655	33.9	478.8	
"104934-52-3"	"3-dodecylthiophene"	815	17	979.6	
"10495-45-1"	"diisobutyl sulfone"	767	25.4	569	0.688
"10496-15-8"	"7,8-dithiatetradecane"	747.1	18.33	815.5	0.692
"10496-16-9"	"8,9-dithiahexadecane"	765.96	15.65	927.5	0.758
"10496-18-1"	"11,12-dithiadocosane"	820.08	10.38	1263.5	0.83
"105-04-4"	"N,N,N'-triethylethylenediamine"	715	31.5	525.3	
"105-05-5"	"p-diethylbenzene"	657.9	28.03	497	0.403
"105-08-8"	"1,4-cyclohexanedimethanol"	724	35.3	445	1.188
"105-30-6"	"2-methyl-1-pentanol"	604.4	34.5	380	0.51
"105-34-0"	"methyl cyanoacetate"	687	38.1	305	0.541
"105-37-3"	"ethyl propanoate"	546	33.62	345	0.394
"105-38-4"	"vinyl propanoate"	546	36.8	323	0.38
"105-39-5"	"ethyl chloroacetate"	618	37.9	327	0.393
"105-41-9"	"4-methyl-2-hexanamine"	565.35	29.19	459.3	0.409
"105-42-0"	"4-methyl-2-hexanone"	592.42	30.22	427.5	0.451
"105-43-1"	"3-methylpentanoic acid"	661	33.8	389	0.652
